folder_path,filename,COO_linkers,cyano_linkers,passed_cif2lammps,passed_lammps,stability
/home/x-sappana/MOFScientist/log/run_2/assembled_mofs,example_MOF_mof-debab1d1.cif,"['O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1', 'O=C(O)c1cc(cc(c1)C(=O)O)C#CC#C']",['N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2'],True,False,
/home/x-sappana/MOFScientist/log/run_2/assembled_mofs,example_MOF_mof-e690a552.cif,"['O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1', 'O=C(O)c1cc(ccc1C(=O)O)OC']",['N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2'],False,False,
/home/x-sappana/MOFScientist/log/run_2/assembled_mofs,example_MOF_mof-d0043cd9.cif,"['O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1', 'O=C(O)c1cc(cc(c1)C(=O)O)C(F)(F)F']",['N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2'],True,True,0.12294939181206296
/home/x-sappana/MOFScientist/log/run_2/assembled_mofs,example_MOF_mof-faf4b0ce.cif,"['O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1', 'O=C(O)c1cc(cc(c1)C(=O)O)C1=NC=CO1']",['N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2'],True,True,0.09854132810250005
/home/x-sappana/MOFScientist/log/run_2/assembled_mofs,example_MOF_mof-768ec1fc.cif,"['O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1', 'O=C(O)c1ccc(cc1C(=O)O)NC(=S)N']",['N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2'],False,False,
/home/x-sappana/MOFScientist/log/run_2/assembled_mofs,example_MOF_mof-5988e8f5.cif,"['O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1', 'O=C(O)c1cc(cc(c1)C(=O)O)C1CC1']",['N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2'],False,False,
/home/x-sappana/MOFScientist/log/run_2/assembled_mofs,example_MOF_mof-c9d6198a.cif,"['O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1', 'O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1']",['N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2'],False,False,
/home/x-sappana/MOFScientist/log/run_2/assembled_mofs,example_MOF_mof-24fb17a6.cif,"['O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1', 'O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1']",['N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2'],False,False,
/home/x-sappana/MOFScientist/log/run_2/assembled_mofs,example_MOF_mof-e2e85b06.cif,"['O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC=C1', 'O=C(O)c1cc(cc(c1)C(=O)O)C1CCCCC1']",['N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2'],True,True,0.1286985604923903
/home/x-sappana/MOFScientist/log/run_2/assembled_mofs,example_MOF_mof-bcdacbc1.cif,"['O=C(O)c1ccc(cc1C(=O)O)C1=NN=NN1', 'O=C(O)c1ccc(cc1C(=O)O)C1=CC=NC=C1']",['N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2'],False,False,
